row_id,Date,HomeTeam_norm,AwayTeam_norm,B365H,B365D,B365A
7926,24/04/2026,betis,real madrid,3.7,4.2,1.85
7921,25/04/2026,ath madrid,ath bilbao,2.05,3.7,3.4
7922,25/04/2026,alaves,mallorca,2.2,3,3.8
7923,25/04/2026,getafe,barcelona,5.25,3.8,1.66
7928,25/04/2026,valencia,girona,2.1,3.4,3.5
7920,26/04/2026,osasuna,sevilla,2.1,3.2,3.75
7925,26/04/2026,vallecano,sociedad,2.7,3.1,2.7
7927,26/04/2026,real oviedo,elche,2.3,3.5,3
7929,26/04/2026,villarreal,celta,2,3.4,3.75
7924,27/04/2026,espanol,levante,2,3.4,3.8
