row_id,Date,HomeTeam_norm,AwayTeam_norm,B365H,B365D,B365A
7669,2025-10-03,osasuna,getafe,2.20,2.90,3.80
7670,2025-10-04,ath bilbao,mallorca,1.50,4.00,7.00
7671,2025-10-04,girona,valencia,2.35,3.50,2.87
7672,2025-10-04,real madrid,villarreal,1.40,5.50,6.00
7673,2025-10-04,real oviedo,levante,2.40,3.50,2.80
7674,2025-10-05,alaves,elche,2.35,3.10,3.25
7675,2025-10-05,celta,ath madrid,4.10,4.00,1.75
7676,2025-10-05,espanol,betis,2.55,3.30,2.70
7677,2025-10-05,sociedad,vallecano,2.00,3.60,3.50
7678,2025-10-05,sevilla,barcelona,5.50,5.25,1.45
