row_id,Date,HomeTeam_norm,AwayTeam_norm,B365H,B365D,B365A
7728,2025-11-21,valencia,levante,1.95,3.50,3.80
7720,2025-11-22,osasuna,sociedad,2.50,3.10,2.90
7721,2025-11-22,alaves,celta,2.50,3.10,2.90
7723,2025-11-22,barcelona,ath bilbao,1.45,4.33,6.50
7729,2025-11-22,villarreal,mallorca,1.42,4.33,7.50
7722,2025-11-23,elche,real madrid,7.00,5.00,1.40
7724,2025-11-23,getafe,ath madrid,4.75,3.10,1.85
7726,2025-11-23,betis,girona,1.57,4.10,5.50
7727,2025-11-23,real oviedo,vallecano,3.25,3.25,2.20
7725,2025-11-24,espanol,sevilla,2.05,3.30,3.75
