row_id,Date,HomeTeam_norm,AwayTeam_norm,B365H,B365D,B365A
7889,20/03/2026,villarreal,sociedad,1.9,3.7,3.89
7881,21/03/2026,osasuna,girona,2.15,3.5,3.3
7882,21/03/2026,elche,mallorca,2.1,3.3,3.6
7884,21/03/2026,levante,real oviedo,2.25,3.3,3.3
7886,21/03/2026,espanol,getafe,2.35,3,3.4
7888,21/03/2026,sevilla,valencia,2.25,3.2,3.4
7880,22/03/2026,ath bilbao,betis,2.2,3.4,3.3
7883,22/03/2026,barcelona,vallecano,1.22,7,10.5
7885,22/03/2026,celta,alaves,1.83,3.3,5
7887,22/03/2026,real madrid,ath madrid,1.95,3.9,3.5
