row_id,Date,HomeTeam_norm,AwayTeam_norm,B365H,B365D,B365A
7970,23/05/2026,alaves,vallecano,2.25,3.5,3
7971,23/05/2026,getafe,osasuna,2.5,2.9,3.1
7972,23/05/2026,girona,elche,1.75,3.7,4.2
7973,23/05/2026,celta,sevilla,1.7,3.6,4.75
7974,23/05/2026,espanol,sociedad,2.2,3.5,3.1
7975,23/05/2026,mallorca,real oviedo,1.45,4.5,6.5
7976,23/05/2026,betis,levante,2.3,3.75,2.8
7977,23/05/2026,real madrid,ath bilbao,1.48,4.75,5.5
7978,23/05/2026,valencia,barcelona,3.6,3.9,1.85
7979,24/05/2026,villarreal,ath madrid,2.45,3.7,2.6
