row_id,Date,HomeTeam_norm,AwayTeam_norm,B365H,B365D,B365A
7712,2025-11-07,elche,sociedad,2.70,3.25,2.60
7711,2025-11-08,ath madrid,levante,1.22,5.50,13.00
7713,2025-11-08,girona,alaves,2.40,3.30,2.90
7715,2025-11-08,espanol,villarreal,2.80,3.40,2.45
7718,2025-11-08,sevilla,osasuna,2.10,3.40,3.40
7710,2025-11-09,ath bilbao,real oviedo,1.48,3.80,8.00
7714,2025-11-09,celta,barcelona,5.25,3.90,1.65
7716,2025-11-09,mallorca,getafe,2.50,2.90,3.20
7717,2025-11-09,vallecano,real madrid,6.00,4.33,1.50
7719,2025-11-09,valencia,betis,3.10,3.30,2.30


