row_id,Date,HomeTeam_norm,AwayTeam_norm,B365H,B365D,B365A
7803,2026-01-23,levante,elche,2.37,3.30,2.87
7804,2026-01-24,vallecano,osasuna,2.15,3.25,3.60
7806,2026-01-24,sevilla,ath bilbao,2.87,3.00,2.62
7807,2026-01-24,valencia,espanol,2.45,3.10,3.10
7808,2026-01-24,villarreal,real madrid,3.40,3.90,2.00
7799,2026-01-25,ath madrid,mallorca,1.30,5.25,10.00
7800,2026-01-25,alaves,betis,2.90,3.00,2.55
7801,2026-01-25,barcelona,real oviedo,1.11,10.00,19.00
7805,2026-01-25,sociedad,celta,2.00,3.40,3.80
7802,2026-01-26,girona,getafe,2.10,3.00,4.00
