row_id,Date,HomeTeam_norm,AwayTeam_norm,B365H,B365D,B365A
7944,08/05/2026,levante,osasuna,2.5,3.25,2.7
7941,09/05/2026,ath madrid,celta,2.2,3.25,3.2
7942,09/05/2026,elche,alaves,2.2,3.5,3
7948,09/05/2026,sociedad,betis,2.4,3.5,2.7
7949,09/05/2026,sevilla,espanol,2,3.3,3.6
7940,10/05/2026,ath bilbao,valencia,1.7,3.7,5
7943,10/05/2026,barcelona,real madrid,1.8,4.2,3.6
7945,10/05/2026,mallorca,villarreal,2.35,3.4,2.8
7947,10/05/2026,real oviedo,getafe,3.1,3,2.4
7946,11/05/2026,vallecano,girona,2.25,3.4,2.9
