row_id,Date,HomeTeam_norm,AwayTeam_norm,B365H,B365D,B365A
7777,2026-01-02,vallecano,getafe,2.08,3.02,4.75
7771,2026-01-03,osasuna,ath bilbao,3.00,2.90,2.62
7773,2026-01-03,elche,villarreal,3.25,3.50,2.20
7774,2026-01-03,celta,valencia,2.00,3.30,4.00
7775,2026-01-03,espanol,barcelona,5.25,4.75,1.50
7772,2026-01-04,alaves,real oviedo,1.83,3.10,5.50
7776,2026-01-04,mallorca,girona,2.25,3.20,3.40
7778,2026-01-04,real madrid,betis,1.45,4.75,6.00
7779,2026-01-04,sociedad,ath madrid,3.90,3.60,1.90
7780,2026-01-04,sevilla,levante,1.75,3.60,4.75


