row_id,Date,HomeTeam_norm,AwayTeam_norm,B365H,B365D,B365A
7814,30/01/2026,espanol,alaves,1.91,3,4.5
7810,31/01/2026,osasuna,villarreal,2.75,3.3,2.55
7811,31/01/2026,elche,barcelona,7.5,5.75,1.33
7813,31/01/2026,levante,ath madrid,5.25,4,1.61
7818,31/01/2026,real oviedo,girona,2.75,3,2.75
7809,01/02/2026,ath bilbao,sociedad,2.3,3.1,3.4
7812,01/02/2026,getafe,celta,2.8,2.9,2.8
7816,01/02/2026,betis,valencia,1.83,3.5,4.5
7817,01/02/2026,real madrid,vallecano,1.25,6,12
7815,02/02/2026,mallorca,sevilla,2.4,3.2,3.1
