row_id,Date,HomeTeam_norm,AwayTeam_norm,B365H,B365D,B365A
7950,12/05/2026,osasuna,ath madrid,2.55,3.5,2.62
7954,12/05/2026,celta,levante,1.85,3.75,3.9
7956,12/05/2026,betis,elche,1.6,4.2,5
7951,13/05/2026,alaves,barcelona,3.2,3.75,2.1
7952,13/05/2026,getafe,mallorca,2.2,3.2,3.5
7955,13/05/2026,espanol,ath bilbao,2.62,3.3,2.7
7959,13/05/2026,villarreal,sevilla,2.05,3.3,3.75
7953,14/05/2026,girona,sociedad,2,3.9,3.5
7957,14/05/2026,real madrid,real oviedo,1.22,7,11
7958,14/05/2026,valencia,vallecano,2.2,3.4,3.3
