row_id,Date,HomeTeam_norm,AwayTeam_norm,B365H,B365D,B365A
7933,01/05/2026,girona,mallorca,2,3.5,3.4
7930,02/05/2026,osasuna,barcelona,3.9,3.9,1.75
7931,02/05/2026,alaves,ath bilbao,2.62,3.2,2.6
7938,02/05/2026,valencia,ath madrid,1.9,3.6,3.7
7939,02/05/2026,villarreal,levante,1.66,4,4.33
7932,03/05/2026,getafe,vallecano,2,3,3.9
7934,03/05/2026,celta,elche,1.75,3.7,4.33
7935,03/05/2026,espanol,real madrid,4.1,3.9,1.72
7936,03/05/2026,betis,real oviedo,1.6,3.8,5.5
7937,04/05/2026,sevilla,sociedad,2.45,3.4,2.7
