row_id,Date,HomeTeam_norm,AwayTeam_norm,B365H,B365D,B365A
7823,06/02/2026,celta,osasuna,1.95,3.25,4
7822,07/02/2026,barcelona,mallorca,1.12,8,17
7824,07/02/2026,vallecano,real oviedo,1.83,3.2,5
7825,07/02/2026,sociedad,elche,1.65,4,5
7826,07/02/2026,sevilla,girona,2.05,3.3,3.6
7819,08/02/2026,ath bilbao,levante,1.61,3.6,5.75
7820,08/02/2026,ath madrid,betis,1.55,4.2,5.5
7821,08/02/2026,alaves,getafe,2.25,2.7,4
7827,08/02/2026,valencia,real madrid,5.75,4.33,1.53
7828,09/02/2026,villarreal,espanol,1.7,3.8,4.5
