row_id,Date,HomeTeam_norm,AwayTeam_norm,B365H,B365D,B365A
7680,2025-10-17,real oviedo,espanol,3.00,3.25,2.40
7681,2025-10-18,ath madrid,osasuna,1.40,4.33,8.00
7682,2025-10-18,barcelona,girona,1.20,7.00,15.00
7683,2025-10-18,sevilla,mallorca,1.85,3.30,4.65
7684,2025-10-18,villarreal,betis,1.90,3.60,4.20
7685,2025-10-19,elche,ath bilbao,3.40,3.10,2.30
7686,2025-10-19,getafe,real madrid,8.50,4.50,1.40
7687,2025-10-19,levante,vallecano,2.87,3.10,2.60
7688,2025-10-19,celta,sociedad,2.15,3.40,3.40
7689,2025-10-20,alaves,valencia,2.35,3.00,3.30


