row_id,Date,HomeTeam_norm,AwayTeam_norm,B365H,B365D,B365A
7728,2025-11-21,valencia,levante,2.10,3.40,3.40
7720,2025-11-22,osasuna,sociedad,2.75,3.00,2.75
7721,2025-11-22,alaves,celta,2.45,3.10,3.00
7723,2025-11-22,barcelona,ath bilbao,1.44,4.50,6.50
7729,2025-11-22,villarreal,mallorca,1.42,4.33,7.50
7722,2025-11-23,elche,real madrid,7.50,5.00,1.36
7724,2025-11-23,getafe,ath madrid,5.50,3.20,1.80
7726,2025-11-23,betis,girona,1.53,4.33,5.50
7727,2025-11-23,real oviedo,vallecano,3.25,3.25,2.20
7725,2025-11-24,espanol,sevilla,2.10,3.30,3.60

