row_id,Date,HomeTeam_norm,AwayTeam_norm,B365H,B365D,B365A
7907,10/04/2026,real madrid,girona,1.3,6,8.5
7902,11/04/2026,elche,valencia,2.4,3.3,3
7903,11/04/2026,barcelona,espanol,1.28,6,9
7908,11/04/2026,sociedad,alaves,1.72,3.7,4.75
7909,11/04/2026,sevilla,ath madrid,3.2,3.1,2.35
7900,12/04/2026,ath bilbao,villarreal,2.25,3.5,3.1
7901,12/04/2026,osasuna,betis,2.2,3.4,3.3
7905,12/04/2026,celta,real oviedo,1.66,3.75,5.25
7906,12/04/2026,mallorca,vallecano,2.37,3.25,3
7904,13/04/2026,levante,getafe,2.8,3,2.8
