row_id,Date,HomeTeam_norm,AwayTeam_norm,B365H,B365D,B365A
7794,2026-01-16,espanol,girona,1.90,3.50,4.20
7789,2026-01-17,osasuna,real oviedo,1.80,3.40,5.00
7795,2026-01-17,mallorca,ath bilbao,3.82,2.95,2.28
7796,2026-01-17,betis,villarreal,2.62,3.55,2.62
7797,2026-01-17,real madrid,levante,1.14,10.03,17.00
7790,2026-01-18,ath madrid,alaves,1.36,5.00,9.00
7792,2026-01-18,getafe,valencia,2.55,2.75,3.39
7793,2026-01-18,celta,vallecano,2.05,3.20,4.00
7798,2026-01-18,sociedad,barcelona,5.00,4.51,1.56
7791,2026-01-19,elche,sevilla,2.25,3.30,3.25

