row_id,Date,HomeTeam_norm,AwayTeam_norm,B365H,B365D,B365A
7641,2025-09-19,betis,sociedad,2.05,3.10,4.00
7642,2025-09-20,girona,levante,1.90,3.50,3.90
7643,2025-09-20,real madrid,espanol,1.22,7.00,11.00
7644,2025-09-20,alaves,sevilla,2.40,3.10,3.00
7645,2025-09-20,villarreal,osasuna,1.53,4.10,5.75
7646,2025-09-20,valencia,ath bilbao,3.20,3.00,2.45
7647,2025-09-21,vallecano,celta,2.30,3.30,3.10
7648,2025-09-21,mallorca,ath madrid,5.00,3.50,1.75
7649,2025-09-21,elche,oviedo,2.05,3.00,4.10
7650,2025-09-21,barcelona,getafe,1.25,6.25,9.50
