row_id,Date,HomeTeam_norm,AwayTeam_norm,B365H,B365D,B365A
7698,2025-10-24,sociedad,sevilla,2.05,3.30,3.70
7690,2025-10-25,ath bilbao,getafe,1.65,3.40,6.25
7692,2025-10-25,girona,real oviedo,1.80,3.50,4.50
7693,2025-10-25,espanol,elche,2.05,3.25,3.90
7699,2025-10-25,valencia,villarreal,3.00,3.50,2.25
7691,2025-10-26,osasuna,celta,2.40,3.20,3.10
7694,2025-10-26,mallorca,levante,2.10,3.25,3.60
7695,2025-10-26,vallecano,alaves,2.00,3.30,3.90
7697,2025-10-26,real madrid,barcelona,2.00,3.80,3.40
7696,2025-10-27,betis,ath madrid,3.25,3.40,2.20
