row_id,Date,HomeTeam_norm,AwayTeam_norm,B365H,B365D,B365A
7660,2025-09-26,girona,espanol,2.55,3.30,2.75
7661,2025-09-27,ath madrid,real madrid,3.00,3.60,2.25
7662,2025-09-27,getafe,levante,2.05,3.10,4.10
7663,2025-09-27,mallorca,alaves,2.35,3.00,3.40
7664,2025-09-27,villarreal,ath bilbao,2.10,3.25,3.70
7665,2025-09-28,elche,celta,2.87,3.10,2.60
7666,2025-09-28,barcelona,sociedad,1.30,5.50,9.50
7667,2025-09-28,vallecano,sevilla,2.00,3.30,4.00
7668,2025-09-28,betis,osasuna,1.75,3.80,4.50
7669,2025-09-29,valencia,real oviedo,1.70,3.50,5.50
