row_id,Date,HomeTeam_norm,AwayTeam_norm,B365H,B365D,B365A
7732,2025-11-28,getafe,elche,2.15,3.00,3.80
7730,2025-11-29,ath madrid,real oviedo,1.20,6.00,13.00
7731,2025-11-29,barcelona,alaves,1.20,6.50,12.00
7734,2025-11-29,levante,ath bilbao,3.25,3.40,2.20
7736,2025-11-29,mallorca,osasuna,2.30,3.10,3.25
7733,2025-11-30,girona,real madrid,6.50,5.25,1.40
7735,2025-11-30,celta,espanol,2.00,3.30,3.80
7738,2025-11-30,sociedad,villarreal,2.60,3.50,2.50
7739,2025-11-30,sevilla,betis,3.10,3.40,2.30
7737,2025-12-01,vallecano,valencia,1.83,3.40,4.33
